mau,scenario,dau,sessionsPerMonth,interstitialRevenue,rewardedRevenue,adsRevenueNet,premiumRevenueGross,premiumRevenueNet,iapRevenueGross,iapRevenueNet,totalRevenueNet,variableCosts,netRevenue,netRevenuePerMau,bandwidthWorstCaseGB,bandwidthCacheOptimizedGB,exceedsGithubPagesSoftLimitWorstCase,exceedsGithubPagesSoftLimitCacheOptimized
10,pessimiste,1,48,0.12,0.05,0.16,0.08,0.07,0.02,0.02,0.25,0,0.25,0.0247,0,0,false,false
10,central,1,126,1.07,0.43,1.49,0.24,0.2,0.06,0.05,1.75,0,1.75,0.1746,0.01,0,false,false
10,optimiste,2,240,3.84,1.9,5.74,0.5,0.42,0.13,0.11,6.28,0,6.28,0.6277,0.02,0,false,false
100,pessimiste,8,480,1.18,0.45,1.63,0.8,0.68,0.2,0.17,2.47,0,2.47,0.0247,0.03,0,false,false
100,central,14,1260,10.66,4.26,14.92,2.39,2.03,0.59,0.5,17.46,0,17.46,0.1746,0.09,0.01,false,false
100,optimiste,20,2400,38.44,19.01,57.45,4.97,4.23,1.29,1.09,62.77,0,62.77,0.6277,0.16,0.01,false,false
1000,pessimiste,80,4800,11.76,4.52,16.28,7.96,6.77,1.98,1.68,24.72,0,24.72,0.0247,0.33,0.02,false,false
1000,central,140,12600,106.6,42.64,149.23,23.88,20.3,5.94,5.05,174.58,0,174.58,0.1746,0.87,0.06,false,false
1000,optimiste,200,24000,384.38,190.08,574.46,49.75,42.29,12.87,10.94,627.69,0,627.69,0.6277,1.65,0.11,false,false
10000,pessimiste,800,48000,117.6,45.16,162.76,79.6,67.66,19.8,16.83,247.25,0,247.25,0.0247,3.3,0.23,false,false
10000,central,1400,126000,1065.96,426.38,1492.34,238.8,202.98,59.4,50.49,1745.81,0,1745.81,0.1746,8.65,0.6,false,false
10000,optimiste,2000,240000,3843.84,1900.8,5744.64,497.5,422.88,128.7,109.39,6276.91,0,6276.91,0.6277,16.48,1.14,false,false
100000,pessimiste,8000,480000,1176,451.58,1627.58,796,676.6,198,168.3,2472.48,0,2472.48,0.0247,32.96,2.29,false,false
100000,central,14000,1260000,10659.6,4263.84,14923.44,2388,2029.8,594,504.9,17458.14,0,17458.14,0.1746,86.52,6.01,false,false
100000,optimiste,20000,2400000,38438.4,19008,57446.4,4975,4228.75,1287,1093.95,62769.1,0,62769.1,0.6277,164.79,11.44,true,false
1000000,pessimiste,80000,4800000,11760,4515.84,16275.84,7960,6766,1980,1683,24724.84,0,24724.84,0.0247,329.59,22.89,true,false
1000000,central,140000,12600000,106596,42638.4,149234.4,23880,20298,5940,5049,174581.4,0,174581.4,0.1746,865.17,60.08,true,false
1000000,optimiste,200000,24000000,384384,190080,574464,49750,42287.5,12870,10939.5,627691,0,627691,0.6277,1647.95,114.44,true,true
