mau,scenario,dau,totalMonthlyPlayHours,interstitialsPerMonth,interstitialRevenue,gameOversPerMonth,rewardedViewsPerMonth,rewardedRevenue,adsRevenueNet,premiumRevenueGross,premiumRevenueNet,totalRevenueNet,netRevenue,netRevenuePerMau
10,pessimiste,1,2,19.64,0.1,7.02,1.75,0.02,0.12,0.08,0.07,0.19,0.19,0.0187
10,central,1,7.35,69.22,0.62,25.79,11.6,0.23,0.86,0.24,0.2,1.06,1.06,0.1058
10,optimiste,2,20,176.32,2.29,70.17,45.61,1.37,3.66,0.5,0.42,4.08,4.08,0.4083
100,pessimiste,8,20,196.36,0.98,70.17,17.54,0.21,1.19,0.8,0.68,1.87,1.87,0.0187
100,central,14,73.5,692.17,6.23,257.87,116.04,2.32,8.55,2.39,2.03,10.58,10.58,0.1058
100,optimiste,20,200,1763.23,22.92,701.68,456.09,13.68,36.6,4.97,4.23,40.83,40.83,0.4083
1000,pessimiste,80,200,1963.6,9.82,701.68,175.42,2.11,11.92,7.96,6.77,18.69,18.69,0.0187
1000,central,140,735,6921.69,62.3,2578.68,1160.41,23.21,85.5,23.88,20.3,105.8,105.8,0.1058
1000,optimiste,200,2000,17632.33,229.22,7016.82,4560.93,136.83,366.05,49.75,42.29,408.34,408.34,0.4083
10000,pessimiste,800,2000,19636,98.18,7016.82,1754.21,21.05,119.23,79.6,67.66,186.89,186.89,0.0187
10000,central,1400,7350,69216.9,622.95,25786.82,11604.07,232.08,855.03,238.8,202.98,1058.01,1058.01,0.1058
10000,optimiste,2000,20000,176323.26,2292.2,70168.21,45609.34,1368.28,3660.48,497.5,422.88,4083.36,4083.36,0.4083
100000,pessimiste,8000,20000,196359.99,981.8,70168.21,17542.05,210.5,1192.3,796,676.6,1868.9,1868.9,0.0187
100000,central,14000,73500,692168.98,6229.52,257868.18,116040.68,2320.81,8550.33,2388,2029.8,10580.13,10580.13,0.1058
100000,optimiste,20000,200000,1763232.59,22922.02,701682.12,456093.38,13682.8,36604.83,4975,4228.75,40833.58,40833.58,0.4083
1000000,pessimiste,80000,200000,1963599.93,9818,701682.12,175420.53,2105.05,11923.05,7960,6766,18689.05,18689.05,0.0187
1000000,central,140000,735000,6921689.76,62295.21,2578681.79,1160406.81,23208.14,85503.34,23880,20298,105801.34,105801.34,0.1058
1000000,optimiste,200000,2000000,17632325.93,229220.24,7016821.21,4560933.79,136828.01,366048.25,49750,42287.5,408335.75,408335.75,0.4083
