mau,scenario,dau,totalMonthlyPlayHours,interstitialsPerMonth,interstitialRevenue,lifeLostEventsPerMonth,rewardedViewsPerMonth,rewardedRevenue,adsRevenueNet,premiumRevenueGross,premiumRevenueNet,totalRevenueNet,netRevenue,netRevenuePerMau
10,pessimiste,1,2,15.31,0.08,21.85,5.46,0.07,0.14,0.08,0.07,0.21,0.21,0.021
10,central,1,7.35,53.96,0.49,80.31,36.14,0.72,1.21,0.24,0.2,1.41,1.41,0.1411
10,optimiste,2,20,137.46,1.79,218.52,142.04,4.26,6.05,0.5,0.42,6.47,6.47,0.6471
100,pessimiste,8,20,153.08,0.77,218.52,54.63,0.66,1.42,0.8,0.68,2.1,2.1,0.021
100,central,14,73.5,539.59,4.86,803.07,361.38,7.23,12.08,2.39,2.03,14.11,14.11,0.1411
100,optimiste,20,200,1374.56,17.87,2185.22,1420.39,42.61,60.48,4.97,4.23,64.71,64.71,0.6471
1000,pessimiste,80,200,1530.76,7.65,2185.22,546.31,6.56,14.21,7.96,6.77,20.98,20.98,0.021
1000,central,140,735,5395.94,48.56,8030.69,3613.81,72.28,120.84,23.88,20.3,141.14,141.14,0.1411
1000,optimiste,200,2000,13745.64,178.69,21852.22,14203.94,426.12,604.81,49.75,42.29,647.1,647.1,0.6471
10000,pessimiste,800,2000,15307.64,76.54,21852.22,5463.05,65.56,142.09,79.6,67.66,209.75,209.75,0.021
10000,central,1400,7350,53959.43,485.63,80306.91,36138.11,722.76,1208.4,238.8,202.98,1411.38,1411.38,0.1411
10000,optimiste,2000,20000,137456.36,1786.93,218522.2,142039.43,4261.18,6048.12,497.5,422.88,6470.99,6470.99,0.6471
100000,pessimiste,8000,20000,153076.4,765.38,218522.2,54630.55,655.57,1420.95,796,676.6,2097.55,2097.55,0.021
100000,central,14000,73500,539594.31,4856.35,803069.08,361381.09,7227.62,12083.97,2388,2029.8,14113.77,14113.77,0.1411
100000,optimiste,20000,200000,1374563.58,17869.33,2185222,1420394.3,42611.83,60481.16,4975,4228.75,64709.91,64709.91,0.6471
1000000,pessimiste,80000,200000,1530763.99,7653.82,2185222,546305.5,6555.67,14209.49,7960,6766,20975.49,20975.49,0.021
1000000,central,140000,735000,5395943.07,48563.49,8030690.84,3613810.88,72276.22,120839.71,23880,20298,141137.71,141137.71,0.1411
1000000,optimiste,200000,2000000,13745635.85,178693.27,21852219.96,14203942.97,426118.29,604811.56,49750,42287.5,647099.06,647099.06,0.6471
